THIx,THIy,KNEx,KNEy,TIBx,TIBy,knee angle
0.1390625,0.54076087,0.128125,0.638586957,0.0859375,0.744565217,5224
0.1484375,0.538043478,0.1375,0.638586957,0.09375,0.739130435,5136
0.1546875,0.538043478,0.1421875,0.635869565,0.096875,0.739130435,5036
0.159375,0.535326087,0.1484375,0.635869565,0.1015625,0.736413043,4922
0.165625,0.535326087,0.1546875,0.635869565,0.10625,0.733695652,4797
0.171875,0.535326087,0.1609375,0.635869565,0.1109375,0.733695652,4660
0.184375,0.535326087,0.1734375,0.635869565,0.1234375,0.72826087,4512
0.190625,0.535326087,0.18125,0.635869565,0.128125,0.725543478,4354
0.196875,0.535326087,0.1875,0.635869565,0.1359375,0.725543478,4189
0.203125,0.535326087,0.1953125,0.635869565,0.1421875,0.725543478,4016
0.209375,0.535326087,0.203125,0.635869565,0.15,0.722826087,3837
0.221875,0.535326087,0.2171875,0.635869565,0.1640625,0.722826087,3654
0.228125,0.535326087,0.225,0.635869565,0.171875,0.722826087,3469
0.234375,0.532608696,0.2328125,0.635869565,0.178125,0.720108696,3282
0.240625,0.532608696,0.2390625,0.633152174,0.1859375,0.717391304,3094
0.246875,0.529891304,0.2453125,0.630434783,0.19375,0.717391304,2907
0.259375,0.527173913,0.2609375,0.627717391,0.209375,0.714673913,2721
0.265625,0.527173913,0.2671875,0.627717391,0.2171875,0.711956522,2536
0.271875,0.524456522,0.2734375,0.625,0.225,0.711956522,2353
0.278125,0.524456522,0.28125,0.625,0.2328125,0.711956522,2172
0.2828125,0.52173913,0.2875,0.622282609,0.240625,0.711956522,1993
0.29375,0.519021739,0.3,0.616847826,0.25625,0.711956522,1819
0.2984375,0.516304348,0.30625,0.616847826,0.2640625,0.711956522,1649
0.2984375,0.516304348,0.30625,0.616847826,0.2640625,0.711956522,1487
0.3078125,0.513586957,0.3171875,0.611413043,0.278125,0.711956522,1333
0.3140625,0.513586957,0.3234375,0.611413043,0.2859375,0.711956522,1192
0.3234375,0.510869565,0.334375,0.608695652,0.3,0.711956522,1065
0.3265625,0.508152174,0.3390625,0.605978261,0.3078125,0.714673913,954
0.3265625,0.508152174,0.3390625,0.605978261,0.3078125,0.714673913,861
0.3359375,0.508152174,0.35,0.605978261,0.321875,0.714673913,787
0.3390625,0.508152174,0.3546875,0.60326087,0.3296875,0.717391304,734
0.3484375,0.505434783,0.3640625,0.60326087,0.34375,0.717391304,700
0.3484375,0.505434783,0.3640625,0.60326087,0.34375,0.717391304,685
0.3515625,0.505434783,0.3671875,0.60326087,0.35,0.717391304,689
0.359375,0.505434783,0.3765625,0.60326087,0.3625,0.720108696,709
0.3625,0.505434783,0.3796875,0.600543478,0.3703125,0.720108696,744
0.365625,0.505434783,0.384375,0.60326087,0.3765625,0.720108696,790
0.36875,0.508152174,0.3875,0.60326087,0.38125,0.722826087,846
0.3734375,0.508152174,0.390625,0.60326087,0.3890625,0.722826087,909
0.3796875,0.510869565,0.3984375,0.60326087,0.4,0.722826087,978
0.3828125,0.510869565,0.4015625,0.60326087,0.4046875,0.722826087,1053
0.384375,0.510869565,0.4046875,0.60326087,0.4109375,0.722826087,1131
0.3875,0.513586957,0.4078125,0.605978261,0.415625,0.722826087,1214
0.390625,0.516304348,0.4109375,0.605978261,0.4203125,0.722826087,1303
0.3984375,0.519021739,0.4171875,0.605978261,0.4296875,0.722826087,1397
0.4,0.519021739,0.421875,0.608695652,0.4359375,0.722826087,1496
0.403125,0.52173913,0.425,0.608695652,0.4390625,0.722826087,1600
0.40625,0.52173913,0.428125,0.608695652,0.44375,0.722826087,1705
0.409375,0.524456522,0.43125,0.608695652,0.4484375,0.725543478,1809
0.4171875,0.524456522,0.4390625,0.611413043,0.45625,0.725543478,1908
0.421875,0.524456522,0.4421875,0.611413043,0.4609375,0.725543478,1996
0.425,0.524456522,0.4453125,0.611413043,0.4640625,0.72826087,2072
0.4296875,0.527173913,0.45,0.614130435,0.4671875,0.72826087,2131
0.434375,0.527173913,0.4546875,0.614130435,0.4703125,0.72826087,2174
0.44375,0.527173913,0.4625,0.614130435,0.4765625,0.730978261,2200
0.446875,0.527173913,0.4671875,0.614130435,0.48125,0.730978261,2209
0.453125,0.527173913,0.4703125,0.614130435,0.484375,0.733695652,2206
0.45625,0.527173913,0.4765625,0.616847826,0.4875,0.733695652,2190
0.4625,0.527173913,0.4796875,0.616847826,0.490625,0.733695652,2166
0.4703125,0.527173913,0.4875,0.616847826,0.4953125,0.736413043,2136
